University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,full_address,location,Latitude,Longitude
Miles College,Fairfield,AL,Methodist,23.03,39.28,50.4,37.233,"Miles College, Fairfield, AL","Miles College, 5500, Myron Massey Boulevard, Fairfield Village, Fairfield, Jefferson County, Alabama, 35064, United States",33.48109865,-86.90911015439585
Hendrix College,Conway,AR,Methodist,36.47,40.13,50.68,42.89,"Hendrix College, Conway, AR","Hendrix College, 1600, Washington Avenue, Conway, Faulkner County, Arkansas, 72032, United States",35.1008234,-92.4420508402078
University of the Pacific,Stockton,CA,Methodist,67.54,60.45,50.4,59.262,"University of the Pacific, Stockton, CA","University of the Pacific, 3601, Pacific Avenue, Stockton, San Joaquin County, California, 95211, United States",37.98042375,-121.31284719832666
University of Denver,Denver,CO,Methodist,96.61,92.7,50.72,77.459,"University of Denver, Denver, CO","University of Denver, 2199, South University Boulevard, Denver, Colorado, 80208, United States",39.6783106,-104.96247276308812
Bethune-Cookman University,Daytona Beach,FL,Methodist,55.01,42.5,49.12,50.153,"Bethune-Cookman University, Daytona Beach, FL","Bethune-Cookman University, 640, Doctor Mary McLeod Bethune Boulevard, Daytona Beach, Volusia County, Florida, 32114, United States",29.21185355,-81.03198250103571
Edward Waters University,Jacksonville,FL,Methodist,48.52,38.97,47.57,46.232,"Edward Waters University, Jacksonville, FL","Edward Waters University, Daniel Street, Jacksonville, Duval County, Florida, 32204, United States",30.34419595,-81.68356941956846
Florida Southern College,Lakeland,FL,Methodist,72.64,49.72,50.28,59.11,"Florida Southern College, Lakeland, FL","Florida Southern College, Lexington Street, Lakeland, Polk County, Florida, 33801, United States",28.0304561,-81.94554251154706
Andrew College,Cuthbert,GA,Methodist,30.99,38.29,49.52,39.866,"Andrew College, Cuthbert, GA","Andrew College - (Main Campus), 501, College Street, Cuthbert, Randolph County, Georgia, 39840, United States",31.77219555,-84.79570870718634
Clark Atlanta University,Atlanta,GA,Methodist,99.17,47.45,75.14,79.217,"Clark Atlanta University, Atlanta, GA","Clark Atlanta University, Parsons Street Southwest, Atlanta University Center, Atlanta, Fulton County, Georgia, 30314, United States",33.75012475,-84.41158897451389
Emory University,Atlanta,GA,Methodist,99.8,90.41,50.56,78.213,"Emory University, Atlanta, GA","Emory University, 201, Dowman Drive, Druid Hills, Atlanta, DeKalb County, Georgia, 30322, United States",33.7969409,-84.32371468406527
LaGrange College,Lagrange,GA,Methodist,36.32,40.28,50.16,42.651,"LaGrange College, Lagrange, GA","LaGrange College, 601, Broad Street, LaGrange, Troup County, Georgia, 30240, United States",33.03381105,-85.04675027949351
Paine College,Augusta,GA,Methodist,28.91,36.99,48.48,38.358,"Paine College, Augusta, GA","Paine College, Chafee Avenue, Oglethorpe Homes, Augusta, Richmond County, Georgia, 30904, United States",33.46943155,-81.99560322689779
Reinhardt University,Waleska,GA,Methodist,50.04,42.11,49.6,48.279,"Reinhardt University, Waleska, GA","Reinhardt University, 7300, Reinhardt Circle, Waleska, Cherokee County, Georgia, 30183, United States",34.321860650000005,-84.55274396651248
Wesleyan College,Macon,GA,Methodist,34.24,39.63,53.43,42.999,"Wesleyan College, Macon, GA","Wesleyan College, 4760, Forsyth Road, Idle Hour Estates, Macon, Bibb County, Georgia, 31210, United States",32.873428450000006,-83.71773399748099
Young Harris College,Young Harris,GA,Methodist,45.22,40.09,51.79,46.825,"Young Harris College, Young Harris, GA","Young Harris College, 1, College Street, Young Harris, Towns County, Georgia, 30582, United States",34.9357023,-83.84596813095078
Greenville University,Greenville,IL,Methodist,33.58,40.79,48.09,40.829,"Greenville University, Greenville, IL","Greenville University, 315, East College Avenue, Greenville, Bond County, Illinois, 62246, United States",38.89648605,-89.41250813892516
McKendree University,Lebanon,IL,Methodist,48.17,43.76,48.4,47.381,"McKendree University, Lebanon, IL","McKendree University, 701, College Road, Lebanon, Saint Clair County, Illinois, 62254, United States",38.60868085,-89.81521661455423
Methodist College,Peoria,IL,Methodist,23.73,40.94,48.05,36.904,"Methodist College, Peoria, IL","Methodist College, 7600, North Academic Drive, Peoria, Peoria County, Illinois, 61615, United States",40.78028965,-89.6829654980177
North Central College,Naperville,IL,Methodist,48.52,46.06,50.32,48.749,"North Central College, Naperville, IL","North Central College, East School Street, Naperville, DuPage County, Illinois, 60566, United States",41.774365450000005,-88.14274924248255
DePauw University,Greencastle,IN,Methodist,57.3,42.23,52.51,52.372,"DePauw University, Greencastle, IN","DePauw University, 313, South Locust Street, Greencastle, Putnam County, Indiana, 46135, United States",39.63804945,-86.86687365754466
University of Evansville,Evansville,IN,Methodist,73.4,43.88,93.14,75.404,"University of Evansville, Evansville, IN","University of Evansville, East Olive Street, Evansville, Vanderburgh County, Indiana, 47714, United States",37.9735131,-87.53229765717168
University of Indianapolis,Indianapolis,IN,Methodist,60.72,57.14,49.12,55.361,"University of Indianapolis, Indianapolis, IN","University of Indianapolis, National Avenue, Indianapolis, Marion County, Indiana, 46225, United States",39.70939645,-86.13445225207252
Cornell College,Mount Vernon,IA,Methodist,38.97,40.17,50.24,43.721,"Cornell College, Mount Vernon, IA","Cornell College, 600, 1st Street Southwest, Mount Vernon, Linn County, Iowa, 52314, United States",41.9253978,-91.42398552745183
Simpson College,Indianola,IA,Methodist,37.56,40.48,49.32,42.851,"Simpson College, Indianola, IA","Simpson College, North C Street, Indianola, Warren County, Iowa, 50125, United States",41.3662127,-93.5660540991244
Baker University,Baldwin City,KS,Methodist,32.02,43.09,49.64,41.285,"Baker University, Baldwin City, KS","Baker University, 6th Street, Baldwin City, Douglas County, Kansas, 66006, United States",38.77624315,-95.17939500727704
Kansas Wesleyan University,Salina,KS,Methodist,37.79,39.32,50.64,43.24,"Kansas Wesleyan University, Salina, KS","Kansas Wesleyan University, Highland Avenue, Kraft Manor, Salina, Saline County, Kansas, 67401, United States",38.8135329,-97.61005437482667
Southwestern College,Winfield,KS,Methodist,31.7,40.75,48.32,40.161,"Southwestern College, Winfield, KS","Southwestern College, North Viking Boulevard, Winfield, Cowley County, Kansas, 67156, United States",37.24924525,-96.97401911330236
Kentucky Wesleyan College,Owensboro,KY,Methodist,34.9,40.05,49.24,41.669,"Kentucky Wesleyan College, Owensboro, KY","Kentucky Wesleyan College, Stadium Drive, Owensboro, Daviess County, Kentucky, 42304, United States",37.7433245,-87.12062019141567
Lindsey Wilson College,Columbia,KY,Methodist,45.9,47.01,50.32,47.891,"Lindsey Wilson College, Columbia, KY","Lindsey Wilson College, 200, Lindsey Wilson Street, Columbia, Adair County, Kentucky, 42728, United States",37.1020748,-85.29968609783923
Union College,Barbourville,KY,Methodist,31.77,41.57,49.96,41.009,"Union College, Barbourville, KY","Union College, 3rd Street, Barbourville, Knox County, Kentucky, 40906, United States",36.8720992,-83.88792369909103
Centenary College of Louisiana,Shreveport,LA,Methodist,53.03,39.28,51.56,49.694,"Centenary College of Louisiana, Shreveport, LA","Centenary College of Louisiana, Centenary Boulevard, Shreveport, Caddo Parish, Louisiana, 71104, United States",32.4842248,-93.73171274297071
Dillard University,New Orleans,LA,Methodist,32.56,40.52,51.16,41.596,"Dillard University, New Orleans, LA","Dillard University, Gentilly Boulevard, New Orleans, Orleans Parish, Louisiana, 70122, United States",29.9962374,-90.0653677710487
Adrian College,Adrian,MI,Methodist,50.24,43.17,49.24,48.427,"Adrian College, Adrian, MI","Adrian College, 110, South Madison Street, Adrian, Madison Township, Lenawee County, Michigan, 49221, United States",41.89849465,-84.06083239910039
Albion College,Albion,MI,Methodist,43.01,41.57,49.6,45.36,"Albion College, Albion, MI","Albion College, 611, East Porter Street, Albion, Calhoun County, Michigan, 49224, United States",42.2437255,-84.74290095493066
Spring Arbor University,Spring Arbor,MI,Methodist,35.16,49.6,49.8,43.906,"Spring Arbor University, Spring Arbor, MI","Spring Arbor University, 169, East Main Street, Greve, Spring Arbor, Jackson County, Michigan, 49283, United States",42.20800175,-84.55633879411187
Hamline University,Saint Paul,MN,Methodist,43.88,47.33,49.84,46.955,"Hamline University, Saint Paul, MN","Hamline University, Taylor Avenue, Hamline - Midway, Saint Paul, Ramsey County, Minnesota, 55104, United States",44.966511350000005,-93.16458641389622
Millsaps College,Jackson,MS,Methodist,30.71,39.17,52.51,41.127,"Millsaps College, Jackson, MS","Millsaps College, 1701, North State Street, Greater Belhaven, Jackson, Hinds County, Mississippi, 39210, United States",32.32196355,-90.1798225329653
Rust College,Holly Springs,MS,Methodist,27.19,38.17,51.16,38.979,"Rust College, Holly Springs, MS","Rust College, 150, Rust Avenue, Holly Springs, Marshall County, Mississippi, 38635, United States",34.776232500000006,-89.44731846573404
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,Methodist,26.4,44.55,51.0,39.874,"Nebraska Methodist College of Nursing & Allied Health, Omaha, NE","Nebraska Methodist College of Nursing & Allied Health, 720, North 87th Street, Omaha, Douglas County, Nebraska, 68114, United States",41.2657787,-96.04838707482637
Nebraska Wesleyan University,Lincoln,NE,Methodist,43.8,43.13,52.91,47.313,"Nebraska Wesleyan University, Lincoln, NE","Nebraska Wesleyan University, 5000, Saint Paul Avenue, University Place, Lincoln, Lancaster County, Nebraska, 68504, United States",40.8383056,-96.64792960546532
Centenary University,Hackettstown,NJ,Methodist,33.29,41.45,47.93,40.781,"Centenary University, Hackettstown, NJ","Centenary University, Jefferson Street, Hackettstown, Warren County, New Jersey, 07840, United States",40.8470669,-74.8351007155218
Drew University,Madison,NJ,Methodist,44.04,44.63,48.96,46.127,"Drew University, Madison, NJ","Drew University, Hillside Avenue, Madison Heights, Madison, Morris County, New Jersey, 07940, United States",40.76053795,-74.42816053099715
Roberts Wesleyan University,Rochester,NY,Methodist,31.28,45.5,49.88,41.567,"Roberts Wesleyan University, Rochester, NY","Roberts Wesleyan University, 2301, Westside Drive, City of Rochester, Town of Chili, Monroe County, New York, 14624, United States",43.12430275,-77.79839481733976
Syracuse University,Syracuse,NY,Methodist,99.87,97.19,50.16,79.436,"Syracuse University, Syracuse, NY","Syracuse University, Salt Springs Road, Salt Springs, City of Syracuse, Onondaga County, New York, 13210, United States",43.01711285,-76.11855360009726
Bennett College,Greensboro,NC,Methodist,21.98,37.22,49.36,35.985,"Bennett College, Greensboro, NC","Bennett College, Gorrell Street, Nocho Park, Greensboro, Guilford County, North Carolina, 27401, United States",36.0675102,-79.77963822343997
Brevard College,Brevard,NC,Methodist,36.24,39.4,50.44,42.556,"Brevard College, Brevard, NC","Brevard College, College Station Drive, Brevard, Transylvania County, North Carolina, 28712, United States",35.237431,-82.72641122025428
Duke University,Durham,NC,Methodist,99.42,98.08,51.99,80.166,"Duke University, Durham, NC","Duke University, Cameron Boulevard, Durham, Durham County, North Carolina, 27708, United States",36.00015569999999,-78.94422972195878
Greensboro College,Greensboro,NC,Methodist,42.03,40.21,49.92,44.825,"Greensboro College, Greensboro, NC","Greensboro College, 815, West Market Street, Westerwood, Greensboro, Guilford County, North Carolina, 27401, United States",36.0713888,-79.8008558023214
High Point University,High Point,NC,Methodist,99.13,61.98,50.56,72.265,"High Point University, High Point, NC","High Point University, Blessing Way, High Point, Guilford County, North Carolina, 27268, United States",35.9720859,-79.9936582
Livingstone College,Salisbury,NC,Methodist,39.97,38.78,49.32,43.475,"Livingstone College, Salisbury, NC","Livingstone College, 701, West Monroe Street, Eaman Park, Salisbury, Rowan County, North Carolina, 28144, United States",35.671286949999995,-80.48567951259292
Methodist University,Fayetteville,NC,Methodist,44.28,42.47,51.08,46.64,"Methodist University, Fayetteville, NC","Methodist University, College Center Drive, Fayetteville, Cumberland County, North Carolina, 28311, United States",35.13408025,-78.87242991721607
North Carolina Wesleyan University,Rocky Mount,NC,Methodist,35.72,43.09,50.52,43.117,"North Carolina Wesleyan University, Rocky Mount, NC","North Carolina Wesleyan University, Belmont Farms Parkway, Rocky Mount, Nash County, North Carolina, 27809, United States",36.01543505,-77.77490978880125
Pfeiffer University,Misenheimer,NC,Methodist,32.6,40.44,48.64,40.587,"Pfeiffer University, Misenheimer, NC","Pfeiffer University, 48380, Ward Drive, Misenheimer, Stanly County, North Carolina, 28109, United States",35.486454300000005,-80.2821503180376
Baldwin Wallace University,Berea,OH,Methodist,54.5,49.44,49.84,51.624,"Baldwin Wallace University, Berea, OH","Baldwin-Wallace University, Beech Street, Berea, Cuyahoga County, Ohio, 44017, United States",41.37161015,-81.84848946631152
University of Mount Union,Alliance,OH,Methodist,44.24,44.67,52.19,47.508,"University of Mount Union, Alliance, OH","University of Mount Union, 1972, Clark Avenue, Mount Union, Alliance, Stark County, Ohio, 44601, United States",40.90423869999999,-81.1106865488107
Ohio Northern University,Ada,OH,Methodist,50.24,45.86,49.88,49.221,"Ohio Northern University, Ada, OH","Ohio Northern University, The Green Monster, Ada, Liberty Township, Hardin County, Ohio, 45810, United States",40.76557505,-83.83356241022632
Ohio Wesleyan University,Delaware,OH,Methodist,40.05,40.87,53.15,45.458,"Ohio Wesleyan University, Delaware, OH","Ohio Wesleyan University, Stilson Street, Delaware, Delaware County, Ohio, 43015, United States",40.292858,-83.06427625448865
Otterbein University,Westerville,OH,Methodist,44.04,46.33,50.24,46.979,"Otterbein University, Westerville, OH","Otterbein University, Schenck Alley, Uptown, Westerville, Sharon, Franklin County, Ohio, 43081, United States",40.127744,-82.93627779442062
Willamette University,Salem,OR,Methodist,50.24,43.37,50.28,48.883,"Willamette University, Salem, OR","Willamette University, 900, State Street, Salem, Marion County, Oregon, 97301, United States",44.9355889,-123.03081292503312
Albright College,Reading,PA,Methodist,35.46,40.4,48.4,41.627,"Albright College, Reading, PA","Albright College, 1621, North 13th Street, Reading, Berks County, Pennsylvania, 19604, United States",40.3627666,-75.91176286761947
Allegheny College,Meadville,PA,Methodist,27.93,42.07,50.56,39.814,"Allegheny College, Meadville, PA","Allegheny College, 520, North Main Street, Meadville, Crawford County, Pennsylvania, 16335, United States",41.6480894,-80.14529767068235
Dickinson College,Carlisle,PA,Methodist,45.86,43.09,51.6,47.604,"Dickinson College, Carlisle, PA","Dickinson College, West Church Avenue, Carlisle, Cumberland County, Pennsylvania, 17030, United States",40.20281155,-77.19957403793873
Lebanon Valley College,Annville,PA,Methodist,41.68,45.42,49.92,45.726,"Lebanon Valley College, Annville, PA","Lebanon Valley College, Bellegrove Road, Annville, Lebanon County, Pennsylvania, 17003, United States",40.3345578,-76.51374559549934
Lycoming College,Williamsport,PA,Methodist,34.79,40.01,51.83,42.654,"Lycoming College, Williamsport, PA","Lycoming College, 700, College Place, East End, Williamsport, Lycoming County, Pennsylvania, 17701, United States",41.2454429,-76.99988254888089
Allen University,Columbia,SC,Methodist,34.24,38.94,50.8,41.808,"Allen University, Columbia, SC","Allen University, 1530, Harden Street, Waverly, Columbia, Richland County, South Carolina, 29204, United States",34.010462950000004,-81.0199355569104
Clinton College,Rock Hill,SC,Methodist,24.79,36.35,34.94,31.163,"Clinton College, Rock Hill, SC","Clinton College, Lige Street, Flint Hill, Stoneybrook Estates, Rock Hill, York County, South Carolina, 29731, United States",34.9134907,-81.0431600314637
Columbia College,Columbia,SC,Methodist,36.58,43.96,49.56,43.25,"Columbia College, Columbia, SC","Columbia College, North Main Street, Eau Claire, Columbia, Richland County, South Carolina, 29203, United States",34.046131849999995,-81.03038940347594
Spartanburg Methodist College,Spartanburg,SC,Methodist,48.88,40.87,51.2,48.208,"Spartanburg Methodist College, Spartanburg, SC","Spartanburg Methodist College, Ethel Road, Saxon, Spartanburg County, South Carolina, 29301, United States",34.952931050000004,-81.96916849432738
Wofford College,Spartanburg,SC,Methodist,60.37,43.45,51.32,53.367,"Wofford College, Spartanburg, SC","Wofford College, Edgewood Avenue, Spartanburg, Spartanburg County, South Carolina, 29303, United States",34.96115815,-81.93532160934096
Dakota Wesleyan University,Mitchell,SD,Methodist,30.61,40.32,50.08,40.344,"Dakota Wesleyan University, Mitchell, SD","Dakota Wesleyan University, Hurst Street, Mitchell, Mitchell Township, Davison County, South Dakota, 57301, United States",43.69723515,-98.03046792635384
Lane College,Jackson,TN,Methodist,27.59,38.71,52.51,39.787,"Lane College, Jackson, TN","Lane College, 545, Lane Avenue, Allenton Heights, Jackson, Madison County, West Tennessee, Tennessee, 38301, United States",35.6282633,-88.80669166676904
Tennessee Wesleyan University,Athens,TN,Methodist,31.28,42.27,49.04,40.585,"Tennessee Wesleyan University, Athens, TN","Tennessee Wesleyan University, North Jackson Street, Morningside, Athens, McMinn County, East Tennessee, Tennessee, 37303, United States",35.44761055,-84.5944217053022
McMurry University,Abilene,TX,Methodist,57.53,40.09,51.99,51.828,"McMurry University, Abilene, TX","McMurry University, 1, Sentinel Drive, Abilene, Taylor County, Texas, 79697, United States",32.429358,-99.74872217744309
Paul Quinn College,Dallas,TX,Methodist,30.61,39.2,49.2,39.768,"Paul Quinn College, Dallas, TX","Paul Quinn College, Happy Canyon Circle, Dallas, Dallas County, Texas, 75241, United States",32.678816600000005,-96.75367781374204
Southern Methodist University,Dallas,TX,Methodist,99.87,85.68,51.79,77.788,"Southern Methodist University, Dallas, TX","Southern Methodist University, 6425, Dyer Court, University Park, Dallas County, Texas, 75205, United States",32.841801149999995,-96.78152810147064
Southwestern University,Georgetown,TX,Methodist,61.14,42.86,51.32,53.557,"Southwestern University, Georgetown, TX","Southwestern University, Hutto Road, University Park, Georgetown, Williamson County, Texas, 78626, United States",30.6371513,-97.66274097607484
Texas College,Tyler,TX,Methodist,36.28,38.21,31.77,34.86,"Texas College, Tyler, TX","Texas College, 2404, North Grand Avenue, Tyler, Smith County, Texas, 75702, United States",32.3746078,-95.31245324946968
Texas Wesleyan University,Fort Worth,TX,Methodist,78.81,45.03,62.7,65.612,"Texas Wesleyan University, Fort Worth, TX","Texas Wesleyan University, Wesleyan Street, Fort Worth, Tarrant County, Texas, 76105, United States",32.73306755,-97.28013399216506
Ferrum College,Ferrum,VA,Methodist,28.67,38.82,50.2,39.316,"Ferrum College, Ferrum, VA","Ferrum College, Fieldview Drive, Ferrum, Franklin County, Virginia, 24088, United States",36.93142245,-80.02813058907365
Randolph-Macon College,Ashland,VA,Methodist,49.8,42.62,50.76,48.75,"Randolph-Macon College, Ashland, VA","Randolph Macon College, 114, Henry Clay Road, Ashland, Hanover County, Virginia, 23005, United States",37.762510500000005,-77.47954212782594
Shenandoah University,Winchester,VA,Methodist,55.13,54.54,49.2,52.638,"Shenandoah University, Winchester, VA","Shenandoah University, Lowry Drive, Winchester, Virginia, 22601, United States",39.16630535,-78.15876380974831
Virginia Wesleyan University,Virginia Beach,VA,Methodist,41.61,41.29,51.91,45.669,"Virginia Wesleyan University, Virginia Beach, VA","Virginia Wesleyan University, Charles Court, Hollywood, Virginia Beach, Virginia, 23462, United States",36.86802,-76.1877440355182
University of Puget Sound,Tacoma,WA,Methodist,48.8,45.07,52.75,49.636,"University of Puget Sound, Tacoma, WA","University of Puget Sound, 1500, North Warner Street, 6th Avenue, Central Tacoma, Tacoma, Pierce County, Washington, 98416, United States",47.261437,-122.48095732177066
Seattle Pacific University,Seattle,WA,Methodist,17.85,52.15,49.96,37.557,"Seattle Pacific University, Seattle, WA","Seattle Pacific University, 5th Avenue West, Queen Anne, Seattle, King County, Washington, 98119, United States",47.64886755,-122.36196642187448
West Virginia Wesleyan College,Buckhannon,WV,Methodist,29.63,40.36,52.67,40.997,"West Virginia Wesleyan College, Buckhannon, WV","West Virginia Wesleyan College, Florence Street, Buckhannon, Upshur County, West Virginia, 26201, United States",38.99047564999999,-80.21826091194856
Tuskegee University,Tuskegee,AL,Not applicable,96.95,45.78,51.12,68.38,"Tuskegee University, Tuskegee, AL","Tuskegee University, 1200, West Montgomery Road, Tuskegee, Macon County, Alabama, 36088, United States",32.4301095,-85.70673351537872
Art Center College of Design,Pasadena,CA,Not applicable,45.22,47.33,49.32,47.283,"Art Center College of Design, Pasadena, CA","Art Center College of Design, Lida Street, Pasadena, Los Angeles County, California, 91109, United States",34.16874025,-118.1851007250844
California College of the Arts,San Francisco,CA,Not applicable,30.01,44.0,48.84,40.343,"California College of the Arts, San Francisco, CA","California College of the Arts, 8th Street, San Francisco, California, 90103, United States",37.767859,-122.4006018694869
Charles R Drew University of Medicine and Science,Los Angeles,CA,Not applicable,23.82,39.9,50.0,37.513,"Charles R Drew University of Medicine and Science, Los Angeles, CA","Charles R Drew University of Medicine and Science, East 118th Street, Willowbrook, Los Angeles County, California, 90059, United States",33.92682765,-118.24234989627216
Claremont McKenna College,Claremont,CA,Not applicable,42.19,42.31,55.84,47.678,"Claremont McKenna College, Claremont, CA","Claremont McKenna College, Brooks Avenue, Claremont, Los Angeles County, California, 91711, United States",34.099957700000004,-117.70617915411113
Harvey Mudd College,Claremont,CA,Not applicable,36.32,41.22,53.11,44.02,"Harvey Mudd College, Claremont, CA","Harvey Mudd College, North Mills Avenue, Claremont, Los Angeles County, California, 91711, United States",34.10614005,-117.70872814971484
University of La Verne,La Verne,CA,Not applicable,71.36,58.32,49.52,60.012,"University of La Verne, La Verne, CA","University of La Verne, East Arrow Highway, La Verne, Los Angeles County, California, 91773, United States",34.099863600000006,-117.77262247058354
Otis College of Art and Design,Los Angeles,CA,Not applicable,39.78,40.48,48.92,43.579,"Otis College of Art and Design, Los Angeles, CA","Otis College of Art and Design, La Tijera Boulevard, Los Angeles, Los Angeles County, California, 90094, United States",33.95673905,-118.4171692394095
Pitzer College,Claremont,CA,Not applicable,41.92,41.33,50.12,45.085,"Pitzer College, Claremont, CA","Pitzer College, East 9th Street, Claremont, Los Angeles County, California, 91711, United States",34.10471765,-117.70504282844789
University of Redlands,Redlands,CA,Not applicable,34.2,56.32,50.28,45.056,"University of Redlands, Redlands, CA","University of Redlands, University Street, Redlands, San Bernardino County, California, 92374, United States",34.0635903,-117.16385420758373
Colorado College,Colorado Springs,CO,Not applicable,60.33,44.79,52.43,54.063,"Colorado College, Colorado Springs, CO","Colorado College, 14, East Cache la Poudre Street, Downtown, Colorado Springs, El Paso County, Colorado, 80903, United States",38.8480439,-104.8239509314005
Naropa University,Boulder,CO,Not applicable,25.02,39.94,48.13,37.252,"Naropa University, Boulder, CO","Naropa University, Marine Street, Goss-Grove, Boulder, Boulder County, Colorado, 80309, United States",40.01407945,-105.26695943762093
Connecticut College,New London,CT,Not applicable,70.44,43.17,50.8,57.13,"Connecticut College, New London, CT","Connecticut College, 270, Mohegan Avenue, New London, Southeastern Connecticut Planning Region, Connecticut, 06320, United States",41.37913335,-72.10653061495535
Goodwin University,East Hartford,CT,Not applicable,29.63,50.32,51.24,42.414,"Goodwin University, East Hartford, CT","Goodwin University, 1, Riverside Drive, East Hartford, Capitol Planning Region, Connecticut, 06118, United States",41.74144325,-72.63784988620363
Mitchell College,New London,CT,Not applicable,26.63,39.32,48.88,38.072,"Mitchell College, New London, CT","Mitchell College, 437, Pequot Avenue, Osprey Beach, New London, Southeastern Connecticut Planning Region, Connecticut, 06320, United States",41.32765375,-72.09621002993681
University of New Haven,West Haven,CT,Not applicable,94.01,70.19,48.76,71.137,"University of New Haven, West Haven, CT","University of New Haven, Andrews Street, Allingtown, West Haven, South Central Connecticut Planning Region, Connecticut, 06516, United States",41.29091365,-72.96263883692575
Quinnipiac University,Hamden,CT,Not applicable,95.8,80.18,50.4,74.506,"Quinnipiac University, Hamden, CT","Quinnipiac University, 275, Mount Carmel Avenue, Hamden, South Central Connecticut Planning Region, Connecticut, 06518, United States",41.418194850000006,-72.8931049147314
Wesleyan University,Middletown,CT,Not applicable,78.32,49.08,52.07,61.97,"Wesleyan University, Middletown, CT","Wesleyan University, Butternut Knoll, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States",41.5559033,-72.65598837890627
Wilmington University,New Castle,DE,Not applicable,37.18,79.81,51.04,51.246,"Wilmington University, New Castle, DE","Wilmington University, 320, North Dupont Highway, Penn Acres, Penn Acres South, New Castle County, Delaware, 19720, United States",39.68213315,-75.58699781308974
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,Not applicable,99.87,62.85,50.76,72.815,"Embry-Riddle Aeronautical University-Daytona Beach, Daytona Beach, FL","Embry-Riddle Aeronautical University, Ponce de Leon Boulevard, Daytona Beach, Volusia County, Florida, 32114, United States",29.19175315,-81.04958387456502
Flagler College,Saint Augustine,FL,Not applicable,73.07,46.41,49.28,58.22,"Flagler College, Saint Augustine, FL","Flagler College, King Street, Model Land Historic District, West Augustine, Saint Augustine, Saint Johns County, Florida, 32084, United States",29.89194365,-81.32156855386452
Florida Institute of Technology,Melbourne,FL,Not applicable,83.84,70.23,49.84,67.511,"Florida Institute of Technology, Melbourne, FL","Florida Institute of Technology, South Babcock Street, Melbourne, Brevard County, Florida, 32901, United States",28.064271,-80.6230040282868
University of Miami,Coral Gables,FL,Not applicable,99.87,95.17,48.84,78.504,"University of Miami, Coral Gables, FL","University of Miami, Carillo Street, Coral Gables, Miami-Dade County, Florida, 33124, United States",25.71727245,-80.2787068732586
Nova Southeastern University,Fort Lauderdale,FL,Not applicable,99.87,92.21,48.96,77.96,"Nova Southeastern University, Fort Lauderdale, FL","Nova Southeastern University East Campus, Southwest 30th Street, Fort Lauderdale, Broward County, Florida, 33315, United States",26.08757885,-80.14968855039686
Ringling College of Art and Design,Sarasota,FL,Not applicable,61.29,43.29,49.68,53.046,"Ringling College of Art and Design, Sarasota, FL","Ringling College of Art and Design, 2700, Bay Point Drive, Hudson Bayou, Sarasota, Sarasota County, Florida, 34234, United States",27.360006650000003,-82.5464064763355
Rollins College,Winter Park,FL,Not applicable,72.57,48.92,50.28,58.922,"Rollins College, Winter Park, FL","Rollins College, 1000, Holt Avenue, College Quarter Historic District, Winter Park, Orange County, Florida, 32789, United States",28.5925001,-81.3489577
Stetson University,DeLand,FL,Not applicable,50.44,53.19,49.92,50.781,"Stetson University, DeLand, FL","Stetson University, 421, North Woodland Boulevard, DeLand, Volusia County, Florida, 32723, United States",29.03653465,-81.30054111521412
Brenau University,Gainesville,GA,Not applicable,38.74,47.53,49.8,44.924,"Brenau University, Gainesville, GA","Brenau University, 500, Washington Street Southeast, Green Street-Brenau Historic District, Gainesville, Hall County, Georgia, 30501, United States",34.30369005,-83.82235377891529
Life University,Marietta,GA,Not applicable,41.37,47.53,48.21,45.339,"Life University, Marietta, GA","Life University, 1269, Barclay Circle Southeast, Marietta, Cobb County, Georgia, 30060, United States",33.9311113,-84.51740878177948
Spelman College,Atlanta,GA,Not applicable,91.07,47.01,58.24,69.125,"Spelman College, Atlanta, GA","Spelman College, Westview Drive Southwest, Joel Chandler Harris Homes, Atlanta, Fulton County, Georgia, 30310, United States",33.74508885,-84.41138326759426
Thomas University,Thomasville,GA,Not applicable,48.64,46.1,49.68,48.549,"Thomas University, Thomasville, GA","Thomas University, 1501, Millpond Road, Thomasville, Thomas County, Georgia, 31792, United States",30.8151379,-83.96435262333654
Hawaii Pacific University,Honolulu,HI,Not applicable,58.12,41.72,48.13,50.844,"Hawaii Pacific University, Honolulu, HI","Hawaii Pacific University, Honolulu County, Hawaii, 96744, United States",21.37952275,-157.78308194567484
School of the Art Institute of Chicago,Chicago,IL,Not applicable,58.71,49.4,53.94,54.94,"School of the Art Institute of Chicago, Chicago, IL","School of The Art Institute of Chicago, South Wabash Avenue, Printer's Row, Loop, Chicago, Cook County, Illinois, 60603, United States",41.8812522,-87.62697448192992
Bradley University,Peoria,IL,Not applicable,66.75,58.2,49.44,58.113,"Bradley University, Peoria, IL","Bradley University, 1501, West Bradley Avenue, St. James Apartments, Peoria, Peoria County, Illinois, 61625, United States",40.6981131,-89.61551386208208
Columbia College Chicago,Chicago,IL,Not applicable,96.08,49.04,48.29,67.551,"Columbia College Chicago, Chicago, IL","Columbia College Chicago, East Harrison Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, United States",41.8742404,-87.6247913
